day,version,system,python_version,installer,downloads
2026-02-20,0.9.2,Linux,3.10.19,pip,15
2026-02-19,0.9.2,Linux,3.10.19,pip,5
2026-02-18,0.9.2,Linux,3.10.19,pip,5
2026-02-18,1.0.0,Windows,3.14.0,pip,2
2026-02-17,1.0.0,Windows,3.13.12,pip,2
2026-02-15,1.0.0,Linux,3.13.9,pip,2
2026-02-14,0.9.2,Linux,3.10.19,pip,3
2026-02-13,1.0.0,Linux,3.12.3,pip,2
2026-02-13,1.0.0,Linux,3.12.12,pip,2
2026-02-13,0.9.2,Linux,3.10.19,pip,39
2026-02-12,1.0.0,Windows,3.12.5,pip,2
2026-02-12,1.0.0,Linux,3.12.5,pip,1
2026-02-12,0.9.2,Linux,3.10.19,pip,15
2026-02-11,1.0.0,Linux,3.13.11,pip,2
2026-02-11,1.0.0,Linux,3.11.2,pip,2
2026-02-11,1.0.0,Linux,3.10.12,pip,2
2026-02-11,0.9.2,Linux,3.10.19,pip,27
2026-02-10,1.0.0,Linux,3.10.19,pip,2
2026-02-09,1.0.0,Windows,3.11.7,pip,2
2026-02-08,1.0.0,Windows,3.14.3,pip,2
2026-02-08,0.9.2,Linux,3.10.19,pip,10
2026-02-06,0.9.2,Linux,3.10.19,pip,22
2026-02-05,1.0.0,Windows,3.14.2,pip,2
2026-02-05,1.0.0,Linux,3.14.3,pip,2
2026-02-05,1.0.0,Linux,3.11.14,pip,2
2026-02-03,1.0.0,Linux,3.14.2,pip,2
2026-02-03,1.0.0,Linux,3.11.14,pip,2
2026-02-03,0.8.2,Windows,2.7.18,pip,1
2026-01-26,1.0.0,Windows,3.10.11,pip,2
2026-01-24,1.0.0,Linux,3.8.17,pip,2
2026-01-23,1.0.0,Linux,3.14.2,pip,9
2026-01-22,1.0.0,Linux,3.14.2,pip,4
2026-01-20,1.0.0,Linux,3.13.11,pip,2
2026-01-19,1.0.0,Linux,3.14.2,pip,6
2026-01-16,1.0.0,Linux,3.10.19,pip,2
2026-01-15,1.0.0,Linux,3.13.5,pip,2
2026-01-15,1.0.0,Linux,3.11.14,pip,2
2026-01-15,0.9.2,Linux,3.12.12,pip,1
2026-01-14,1.0.0,Windows,3.8.0,pip,2
2026-01-14,1.0.0,Linux,3.10.19,pip,2
2026-01-12,1.0.0,Windows,3.13.11,pip,2
2026-01-12,1.0.0,Linux,3.14.2,pip,2
2026-01-10,0.8.4,Linux,3.9.6,pip,1
2026-01-10,0.8.7,Linux,3.9.6,pip,1
2026-01-10,0.8.2,Linux,3.9.6,pip,1
2026-01-10,0.9.0,Linux,3.9.6,pip,1
2026-01-10,0.9.2,Linux,3.9.6,pip,1
2026-01-10,0.8.9,Linux,3.9.6,pip,1
2026-01-10,1.0.0,Linux,3.9.6,pip,2
2026-01-07,1.0.0,Darwin,3.12.10,pip,2
2026-01-05,1.0.0,Linux,3.11.14,pip,5
2026-01-04,1.0.0,Linux,3.10.19,pip,2
2026-01-02,1.0.0,Linux,3.11.2,pip,2
2026-01-02,1.0.0,Linux,3.11.14,pip,2
2025-12-28,1.0.0,Windows,3.13.2,pip,2
2025-12-23,1.0.0,Windows,3.13.6,pip,2
2025-12-18,1.0.0,Linux,3.12.3,pip,2
2025-12-16,1.0.0,Windows,3.13.4,pip,2
2025-12-14,1.0.0,Windows,3.13.5,pip,2
2025-12-14,1.0.0,Linux,3.10.19,pip,2
2025-12-12,1.0.0,Linux,3.11.2,pip,1
2025-12-12,0.9.2,Windows,3.10.19,pip,1
2025-12-11,1.0.0,Windows,3.14.0,pip,2
2025-12-10,1.0.0,Linux,3.11.8,pip,2
2025-12-10,1.0.0,Linux,3.11.14,pip,2
2025-12-10,0.9.2,Linux,3.11.12,pip,3
2025-12-09,1.0.0,Linux,3.9.6,pip,1
2025-12-09,1.0.0,Linux,3.10.19,pip,2
2025-12-05,1.0.0,Windows,3.13.0,pip,2
2025-12-05,1.0.0,Windows,3.13.6,pip,2
2025-12-04,1.0.0,Linux,3.12.12,pip,4
2025-12-02,1.0.0,Linux,3.12.3,pip,2
2025-12-02,1.0.0,Linux,3.10.19,pip,2
2025-12-02,1.0.0,Darwin,3.12.12,pip,2
2025-11-30,1.0.0,Windows,3.10.11,pip,2
2025-11-28,1.0.0,Windows,3.11.9,pip,2
2025-11-26,1.0.0,Linux,3.12.12,pip,2
2025-11-25,1.0.0,Linux,3.10.19,pip,4
2025-11-25,1.0.0,Darwin,3.13.5,pip,2
2025-11-24,1.0.0,Windows,3.10.0,pip,1
2025-11-24,1.0.0,Linux,3.10.19,pip,18
2025-11-23,1.0.0,Linux,3.11.8,pip,4
2025-11-22,1.0.0,Linux,3.11.8,pip,4
2025-11-21,1.0.0,Linux,3.12.12,pip,2
2025-11-21,1.0.0,Linux,3.11.8,pip,6
2025-11-21,0.8.9,Linux,3.11.8,pip,1
2025-11-20,1.0.0,Linux,3.11.8,pip,4
2025-11-18,1.0.0,Windows,3.12.0,pip,2
2025-11-18,1.0.0,Windows,3.11.8,pip,2
2025-11-18,1.0.0,Linux,3.12.12,pip,2
2025-11-17,1.0.0,Windows,3.13.9,pip,2
2025-11-17,1.0.0,Windows,3.11.4,pip,2
2025-11-14,1.0.0,Windows,3.13.9,pip,2
2025-11-14,1.0.0,Linux,3.12.12,pip,2
2025-11-14,1.0.0,Windows,3.11.3,pip,1
2025-11-13,1.0.0,Linux,3.11.14,pip,4
2025-11-13,1.0.0,Darwin,3.11.13,pip,2
2025-11-13,1.0.0,Darwin,3.13.7,pip,2
2025-11-13,1.0.0,Linux,3.12.12,pip,2
2025-11-13,1.0.0,Windows,3.11.0,pip,2
2025-11-12,1.0.0,Windows,3.13.9,pip,2
