day,version,downloads
2026-02-01,0.1.0,2
2026-02-01,0.1.2,1
2026-01-31,0.1.0,3
2026-01-31,0.1.2,1
2026-01-30,0.1.0,1
2026-01-29,0.1.0,4
2026-01-29,0.1.2,4
2026-01-27,0.1.0,2
2026-01-27,0.1.2,2
2026-01-23,0.1.2,2
2026-01-22,0.1.2,2
2026-01-22,0.1.0,2
2026-01-21,0.1.2,2
2026-01-18,0.1.0,2
2026-01-18,0.1.2,2
2026-01-17,0.1.2,2
2026-01-17,0.1.0,2
2026-01-16,0.1.2,2
2026-01-15,0.1.2,2
2026-01-14,0.1.2,4
2026-01-14,0.1.0,3
2026-01-13,0.1.2,4
2026-01-13,0.1.0,2
2026-01-11,0.1.0,5
2026-01-11,0.1.2,5
2026-01-08,0.1.2,2
2026-01-08,0.1.0,2
2026-01-02,0.1.2,4
2026-01-02,0.1.0,2
2026-01-01,0.1.2,2
2025-12-31,0.1.2,2
2025-12-31,0.1.0,2
2025-12-28,0.1.2,2
2025-12-28,0.1.0,2
2025-12-25,0.1.2,5
2025-12-25,0.1.0,4
2025-12-24,0.1.2,2
2025-12-23,0.1.2,4
2025-12-23,0.1.0,2
2025-12-20,0.1.2,3
2025-12-20,0.1.0,2
2025-12-19,0.1.2,2
2025-12-19,0.1.0,2
2025-12-18,0.1.0,4
2025-12-18,0.1.2,4
2025-12-16,0.1.2,5
2025-12-16,0.1.0,4
2025-12-15,0.1.2,1
2025-12-13,0.1.2,5
2025-12-13,0.1.0,5
2025-12-12,0.1.2,2
2025-12-11,0.1.2,1
2025-12-10,0.1.2,1
2025-12-08,0.1.2,4
2025-12-08,0.1.0,2
2025-12-07,0.1.0,4
2025-12-07,0.1.2,3
2025-12-06,0.1.0,6
2025-12-06,0.1.2,6
2025-12-03,0.1.0,4
2025-12-03,0.1.2,4
2025-11-26,0.1.2,2
2025-11-25,0.1.2,3
2025-11-25,0.1.0,2
2025-11-19,0.1.2,4
2025-11-19,0.1.0,2
2025-11-18,0.1.2,5
2025-11-18,0.1.0,4
2025-11-17,0.1.0,4
2025-11-17,0.1.2,4
2025-11-15,0.1.2,2
2025-11-15,0.1.0,2
2025-11-14,0.1.0,2
